"","ObservationId","Selected"
"8524",8524,-1.57633905928378e-13
"8525",8525,-1.23847598842985e-13
"8526",8526,-1.42890144161356e-13
"8527",8527,-1.49569245877501e-13
"8528",8528,-1.36353150992363e-13
"8529",8529,-1.29887212096946e-13
"8530",8530,-1.32729383039987e-13
"8531",8531,-9.83035874924099e-14
"8532",8532,-1.17594822768297e-14
"8533",8533,-2.02859951059509e-14
"8534",8534,-1.23634436022257e-14
"8535",8535,2.49999999999985
"8536",8536,-1.38307143515704e-13
"8537",8537,-1.28643762309366e-13
"8538",8538,-1.53903556565638e-13
"8539",8539,-1.50635059981141e-13
"8540",8540,-1.06936681731895e-13
"8541",8541,-1.18660636871937e-14
"8542",8542,-1.19015908239817e-14
"8543",8543,-9.89075488178059e-14
"8544",8544,1.44999999999997
"8545",8545,-1.10489395410696e-14
"8546",8546,-1.17239551400417e-14
"8547",8547,-1.48183687542769e-13
"8548",8548,-1.26014754187054e-13
"8549",8549,-1.00293107152538e-13
"8550",8550,-1.61186619607179e-13
"8551",8551,-1.18909326829453e-13
"8552",8552,-1.01572084076906e-13
"8553",8553,-1.15960574476048e-13
"8554",8554,-1.23030474696861e-13
"8555",8555,-1.15498721697804e-13
"8556",8556,-1.2608580846063e-13
"8557",8557,-8.16768874756235e-14
"8558",8558,-1.18127729820117e-13
"8559",8559,1.19999999999991
"8560",8560,-1.2501999435699e-13
"8561",8561,-1.21183063583885e-13
"8562",8562,-8.89244233803765e-14
"8563",8563,-1.39586120440072e-13
"8564",8564,-1.52766688188422e-13
"8565",8565,-1.62110325163667e-13
"8566",8566,-1.30242483464826e-13
"8567",8567,-1.42925671298144e-13
"8568",8568,-3.47810669154569e-14
"8569",8569,-1.62216906574031e-13
"8570",8570,-1.64952496106707e-13
"8571",8571,-1.47828416174889e-13
"8572",8572,-1.65805147389619e-13
"8573",8573,-3.65574237548572e-14
"8574",8574,-1.19371179607697e-14
"8575",8575,-3.5207392556913e-14
"8576",8576,-1.20792265079217e-14
"8577",8577,-1.22213350550737e-13
"8578",8578,-1.37205802275275e-13
"8579",8579,-1.48077106132405e-13
"8580",8580,-1.57562851654802e-13
"8581",8581,-1.58202340116986e-13
"8582",8582,-1.72768466200068e-13
"8583",8583,-1.65449876021739e-13
"8584",8584,-1.40971678774804e-13
"8585",8585,-1.424638185199e-13
"8586",8586,-1.44559919590392e-13
"8587",8587,-1.4530598946294e-13
"8588",8588,-1.38342670652491e-13
"8589",8589,-1.37099220864911e-13
